"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.885902032E2,6.356075496E1,2.704237049E1,9.264035474E1,1.480000019E0,2.551999969E2,3.790092468E0,2.500000000E0
1.895920667E2,6.356074946E1,2.704234012E1,9.246603382E1,1.429999948E0,2.535000000E2,3.790092468E0,2.500000000E0
1.905903118E2,6.356074372E1,2.704230906E1,9.296053599E1,1.519999981E0,2.491000061E2,3.790092468E0,2.500000000E0
1.915893666E2,6.356073900E1,2.704227853E1,9.299782425E1,1.500000000E0,2.515000000E2,3.790092468E0,2.500000000E0
1.925912946E2,6.356073395E1,2.704225026E1,9.247334497E1,1.399999976E0,2.541999969E2,3.790092468E0,2.500000000E0
1.935898953E2,6.356072995E1,2.704222003E1,9.261335569E1,1.440000057E0,2.595000000E2,3.790092468E0,2.500000000E0
1.945908420E2,6.356072615E1,2.704218940E1,9.296570776E1,1.500000000E0,2.553999939E2,3.790092468E0,2.500000000E0
1.955893466E2,6.356072321E1,2.704215850E1,9.337702011E1,1.519999981E0,2.550000000E2,3.790092468E0,2.500000000E0
1.965895418E2,6.356072041E1,2.704212447E1,9.355865696E1,1.509999990E0,2.538000031E2,3.790092468E0,2.500000000E0
1.975895992E2,6.356071835E1,2.704209055E1,9.413525260E1,1.559999943E0,2.612999878E2,3.790092468E0,2.500000000E0
1.985898239E2,6.356071789E1,2.704205707E1,9.463384596E1,1.590000033E0,2.637000122E2,3.790092468E0,2.500000000E0
1.995905961E2,6.356071595E1,2.704202548E1,9.435985590E1,1.549999952E0,2.578999939E2,3.790092468E0,2.500000000E0
2.005903235E2,6.356071156E1,2.704199346E1,9.441398986E1,1.519999981E0,2.505000000E2,3.790092468E0,2.500000000E0
2.015900336E2,6.356070625E1,2.704196388E1,9.486686634E1,1.480000019E0,2.503000031E2,3.790092468E0,2.500000000E0
2.025900104E2,6.356070132E1,2.704193338E1,9.575168870E1,1.490000010E0,2.513999939E2,3.790092468E0,2.500000000E0
2.035895467E2,6.356069713E1,2.704190170E1,9.560550538E1,1.559999943E0,2.558000031E2,3.790092468E0,2.500000000E0
