"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.661438077E0,-5.832004547E-2,1.409053802E-2,1.136660576E-1
1.666515108E0,-4.600417614E-2,4.034566879E-2,9.585142136E-2
1.671592035E0,-7.711291313E-3,2.577352524E-2,1.116409302E-1
1.676669014E0,-2.896010876E-2,1.355743408E-2,9.183883667E-2
1.681748077E0,-6.667196751E-2,1.800584793E-2,7.938766479E-2
1.686825108E0,-8.499145508E-2,2.707958221E-2,1.407833099E-1
1.691902191E0,-1.009503603E-1,5.258941650E-2,1.447219849E-1
1.696979275E0,-6.955814362E-2,3.977489471E-2,1.629042625E-1
1.702051150E0,-3.400361538E-2,3.161191940E-2,1.881718636E-1
1.707127973E0,-2.738618851E-2,2.575111389E-2,1.254320145E-1
1.712204743E0,5.196928978E-3,-1.577806473E-2,1.202797890E-1
1.717281566E0,4.714298248E-2,-4.510688782E-2,1.080989838E-1
1.722327608E0,2.948129177E-2,-4.109573364E-2,9.857988358E-2
1.727402868E0,2.164304256E-2,-1.591253281E-2,6.321668625E-2
1.732478129E0,2.120137215E-3,-3.622865677E-2,4.020309448E-2
1.737553389E0,-3.145372868E-2,-1.360654831E-2,3.638696671E-2
1.742613389E0,-1.014459133E-2,2.058792114E-2,3.270483017E-2
1.747673389E0,-3.610849380E-3,-2.007484436E-4,3.377485275E-2
1.752733389E0,2.792477608E-3,-2.324295044E-2,1.823711395E-2
1.757793389E0,4.698514938E-2,-1.289987564E-2,-3.040885925E-2
1.762853389E0,5.056893826E-2,-2.582073212E-3,-7.391929626E-2
1.767913389E0,4.719471931E-2,-2.780580521E-2,-6.254625320E-2
1.772973389E0,6.544566154E-2,-3.369235992E-2,-7.508277893E-2
1.778033389E0,5.041503906E-2,-3.701496124E-2,-8.998918533E-2
1.783093389E0,1.659083366E-2,-7.018566132E-3,-7.152366638E-2
1.788153389E0,3.302705288E-2,-1.512670517E-2,-6.283521652E-2
1.793213389E0,4.196286201E-3,1.491022110E-2,-4.003047943E-2
1.798273389E0,2.079129219E-2,-7.652759552E-3,-3.394794464E-2
1.803333389E0,4.442524910E-2,-2.280282974E-2,-5.887746811E-2
1.808393389E0,3.453767300E-2,-4.527091980E-3,-4.564762115E-2
1.813453389E0,2.485954762E-2,-2.449083328E-2,-7.518005371E-2
1.818513389E0,2.500092983E-2,-4.188966751E-2,-9.730291367E-2
1.823573389E0,6.809914112E-2,-2.830743790E-2,-9.539222717E-2
1.828633389E0,4.929518700E-2,2.074861526E-2,-1.005239487E-1
1.833693389E0,-7.482886314E-3,3.144264221E-2,-8.431625366E-2
1.838753389E0,-7.061243057E-3,4.689645767E-2,-4.940319061E-2
1.843813389E0,-3.289830685E-2,3.847551346E-2,-5.520486832E-2
1.848873389E0,-8.802294731E-3,8.786678314E-3,-6.579160690E-2
1.853933389E0,5.060434341E-4,1.276588440E-2,-1.713848114E-2
1.858993389E0,-2.364873886E-3,1.688337326E-2,-2.374792099E-2
1.864053389E0,-3.615570068E-2,3.307676315E-2,-1.865959167E-2
1.869113389E0,-1.510775089E-2,2.791452408E-2,-1.615905762E-2
1.874173389E0,3.182554245E-2,3.229665756E-2,-6.570816040E-3
1.879233389E0,2.377021313E-2,1.753139496E-2,-4.076957703E-3
1.884293389E0,3.244614601E-2,-4.246711731E-3,7.915973663E-3
1.889353389E0,4.836201668E-2,-1.155328751E-2,3.169727325E-2
1.894413389E0,5.000352859E-2,1.130104065E-4,6.965065002E-2
1.899473389E0,1.621735096E-2,-1.214790344E-2,7.653045654E-2
1.904533389E0,8.985280991E-3,-2.875328064E-3,6.908655167E-2
1.909593389E0,-3.136038780E-3,2.284622192E-2,6.650304794E-2
1.914653389E0,-2.231323719E-2,5.546617508E-2,7.107305527E-2
1.919713389E0,-5.618333817E-3,4.961538315E-2,5.205106735E-2
1.924773389E0,-1.776182652E-2,1.983404160E-2,3.810119629E-2
1.929833389E0,-1.350402832E-3,4.017400742E-2,4.327201843E-2
